																	
Æ½²Ö·ÖÎö																	
#	¹«Ê½Ó¦ÓÃ	ÀàÐÍ	ÉÌÆ·	½¨²ÖÊ±¼ä	½¨²Ö¼Û¸ñ	Æ½²ÖÊ±¼ä	Æ½²Ö¼Û¸ñ	ÊýÁ¿	×î¼ÑÆ½²Ö¼Û	×î¼ÑÆ½²ÖÊ±¼ä	×î²îÆ½²Ö¼Û	×î²îÆ½²ÖÊ±¼ä	¸¡¶¯Ó¯Àû	¸¡¶¯¿÷Ëð	½¨²ÖÐ§ÂÊ	Æ½²ÖÐ§ÂÊ	×ÜÐ§ÂÊ
1	SigOneHrBasic	¿ÕÍ·	rb888	2009/03/30 13:00	3541	2009/03/31 09:00	3550	1	3528	2009/03/30 14:00	3550	2009/03/30 13:00	120.00	(100.00)	57.14%	(4.76%)	(47.62%)
2	SigOneHrBasic	¶àÍ·	rb888	2009/04/08 14:00	3467	2009/04/09 11:00	3472	1	3486	2009/04/09 09:00	3463	2009/04/08 14:00	180.00	(50.00)	81.82%	36.36%	18.18%
3	SigOneHrBasic	¶àÍ·	rb888	2009/04/10 09:00	3470	2009/04/10 14:00	3482	1	3494	2009/04/10 13:00	3470	2009/04/10 09:00	230.00	(10.00)	100.00%	47.83%	47.83%
4	SigOneHrBasic	¿ÕÍ·	rb888	2009/04/24 11:00	3503	2009/04/27 09:00	3508	1	3497	2009/04/24 14:00	3510	2009/04/27 09:00	50.00	(80.00)	41.67%	8.33%	(50.00%)
5	SigOneHrBasic	¿ÕÍ·	rb888	2009/05/07 10:00	3605	2009/05/08 09:00	3600	1	3591	2009/05/07 14:00	3605	2009/05/07 10:00	130.00	(10.00)	100.00%	30.77%	30.77%
6	SigOneHrBasic	¶àÍ·	rb888	2009/05/11 13:00	3648	2009/05/11 14:00	3641	1	3648	2009/05/11 13:00	3641	2009/05/11 13:00	0.00	(80.00)	(16.67%)	(16.67%)	(133.33%)
7	SigOneHrBasic	¿ÕÍ·	rb888	2009/05/13 11:00	3648	2009/05/14 14:00	3597	1	3590	2009/05/14 09:00	3649	2009/05/13 13:00	570.00	(20.00)	98.28%	87.93%	86.21%
8	SigOneHrBasic	¿ÕÍ·	rb888	2009/05/15 11:00	3606	2009/05/18 10:00	3595	1	3581	2009/05/18 09:00	3607	2009/05/15 13:00	240.00	(20.00)	96.00%	44.00%	40.00%
9	SigOneHrBasic	¶àÍ·	rb888	2009/05/19 14:00	3619	2009/05/20 09:00	3614	1	3619	2009/05/19 14:00	3614	2009/05/19 14:00	0.00	(60.00)	(25.00%)	(25.00%)	(150.00%)
10	SigOneHrBasic	¶àÍ·	rb888	2009/06/01 13:00	3640	2009/06/02 14:00	3661	1	3682	2009/06/02 11:00	3640	2009/06/01 13:00	410.00	(10.00)	100.00%	48.78%	48.78%
11	SigOneHrBasic	¶àÍ·	rb888	2009/06/04 10:00	3672	2009/06/05 11:00	3756	1	3778	2009/06/05 10:00	3672	2009/06/04 10:00	1050.00	(10.00)	100.00%	79.05%	79.05%
12	SigOneHrBasic	¶àÍ·	rb888	2009/06/09 09:00	3793	2009/06/09 10:00	3776	1	3793	2009/06/09 09:00	3776	2009/06/09 09:00	0.00	(180.00)	(6.25%)	(6.25%)	(112.50%)
13	SigOneHrBasic	¿ÕÍ·	rb888	2009/06/10 11:00	3793	2009/06/10 13:00	3804	1	3793	2009/06/10 11:00	3804	2009/06/10 11:00	0.00	(120.00)	(10.00%)	(10.00%)	(120.00%)
14	SigOneHrBasic	¿ÕÍ·	rb888	2009/06/15 13:00	3853	2009/06/16 09:00	3850	1	3829	2009/06/16 09:00	3853	2009/06/15 13:00	230.00	(10.00)	100.00%	8.70%	8.70%
15	SigOneHrBasic	¿ÕÍ·	rb888	2009/06/17 14:00	3853	2009/06/18 09:00	3858	1	3852	2009/06/17 14:00	3858	2009/06/17 14:00	0.00	(60.00)	0.00%	(20.00%)	(120.00%)
16	SigOneHrBasic	¶àÍ·	rb888	2009/06/22 09:00	3920	2009/06/22 14:00	3918	1	3933	2009/06/22 10:00	3905	2009/06/22 10:00	120.00	(160.00)	44.44%	44.44%	(11.11%)
17	SigOneHrBasic	¿ÕÍ·	rb888	2009/06/29 09:00	3848	2009/06/29 13:00	3839	1	3823	2009/06/29 10:00	3848	2009/06/29 09:00	240.00	(10.00)	100.00%	33.33%	33.33%
18	SigOneHrBasic	¶àÍ·	rb888	2009/07/03 09:00	3869	2009/07/03 13:00	3867	1	3872	2009/07/03 10:00	3865	2009/07/03 10:00	20.00	(50.00)	33.33%	16.67%	(50.00%)
19	SigOneHrBasic	¶àÍ·	rb888	2009/07/07 09:00	3869	2009/07/07 13:00	3868	1	3873	2009/07/07 11:00	3867	2009/07/07 10:00	30.00	(30.00)	60.00%	0.00%	(40.00%)
20	SigOneHrBasic	¶àÍ·	rb888	2009/07/14 13:00	3898	2009/07/14 14:00	3896	1	3898	2009/07/14 13:00	3896	2009/07/14 13:00	0.00	(30.00)	(100.00%)	(100.00%)	(300.00%)
21	SigOneHrBasic	¶àÍ·	rb888	2009/07/15 09:00	3907	2009/07/16 10:00	3982	1	4028	2009/07/16 09:00	3907	2009/07/15 09:00	1200.00	(10.00)	100.00%	61.67%	61.67%
22	SigOneHrBasic	¶àÍ·	rb888	2009/07/30 09:00	4416	2009/07/30 11:00	4385	1	4417	2009/07/30 10:00	4385	2009/07/30 09:00	0.00	(320.00)	0.00%	(3.23%)	(103.23%)
23	SigOneHrBasic	¶àÍ·	rb888	2009/07/30 13:00	4402	2009/08/03 13:00	4830	1	4857	2009/08/03 09:00	4402	2009/07/30 13:00	4540.00	(10.00)	100.00%	94.05%	94.05%
24	SigOneHrBasic	¿ÕÍ·	rb888	2009/08/05 13:00	4874	2009/08/05 14:00	4891	1	4857	2009/08/05 13:00	4891	2009/08/05 13:00	160.00	(180.00)	48.48%	(3.03%)	(54.55%)
25	SigOneHrBasic	¿ÕÍ·	rb888	2009/08/07 11:00	4888	2009/08/10 13:00	4601	1	4556	2009/08/10 10:00	4888	2009/08/07 11:00	3310.00	(10.00)	100.00%	86.40%	86.40%
26	SigOneHrBasic	¿ÕÍ·	rb888	2009/08/19 09:00	4408	2009/08/20 09:00	4221	1	4219	2009/08/19 13:00	4408	2009/08/19 09:00	1880.00	(10.00)	100.00%	98.94%	98.94%
27	SigOneHrBasic	¿ÕÍ·	rb888	2009/08/20 10:00	4180	2009/08/20 13:00	4183	1	4131	2009/08/20 11:00	4183	2009/08/20 10:00	480.00	(40.00)	94.12%	(1.96%)	(7.84%)
28	SigOneHrBasic	¶àÍ·	rb888	2009/08/24 09:00	4352	2009/08/24 10:00	4343	1	4352	2009/08/24 09:00	4343	2009/08/24 09:00	0.00	(100.00)	(12.50%)	(12.50%)	(125.00%)
29	SigOneHrBasic	¶àÍ·	rb888	2009/08/27 10:00	4274	2009/08/27 13:00	4276	1	4297	2009/08/27 11:00	4274	2009/08/27 10:00	220.00	(10.00)	100.00%	4.55%	4.55%
30	SigOneHrBasic	¶àÍ·	rb888	2009/08/28 09:00	4296	2009/08/28 10:00	4284	1	4313	2009/08/28 09:00	4284	2009/08/28 09:00	160.00	(130.00)	57.14%	(3.57%)	(46.43%)
31	SigOneHrBasic	¿ÕÍ·	rb888	2009/08/31 14:00	4164	2009/09/01 13:00	4103	1	4054	2009/09/01 09:00	4164	2009/08/31 14:00	1090.00	(10.00)	100.00%	55.05%	55.05%
32	SigOneHrBasic	¿ÕÍ·	rb888	2009/09/01 14:00	4094	2009/09/02 10:00	4078	1	4011	2009/09/02 09:00	4094	2009/09/01 14:00	820.00	(10.00)	100.00%	18.29%	18.29%
33	SigOneHrBasic	¿ÕÍ·	rb888	2009/09/02 11:00	4047	2009/09/02 14:00	4042	1	4017	2009/09/02 13:00	4047	2009/09/02 11:00	290.00	(10.00)	100.00%	13.79%	13.79%
34	SigOneHrBasic	¿ÕÍ·	rb888	2009/09/03 10:00	4032	2009/09/03 11:00	4040	1	4022	2009/09/03 11:00	4040	2009/09/03 10:00	90.00	(90.00)	52.94%	(5.88%)	(52.94%)
35	SigOneHrBasic	¶àÍ·	rb888	2009/09/09 14:00	4005	2009/09/10 11:00	4040	1	4078	2009/09/10 09:00	4005	2009/09/09 14:00	720.00	(10.00)	100.00%	47.22%	47.22%
36	SigOneHrBasic	¶àÍ·	rb888	2009/09/10 13:00	4050	2009/09/10 14:00	4046	1	4053	2009/09/10 13:00	4046	2009/09/10 13:00	20.00	(50.00)	33.33%	(16.67%)	(83.33%)
37	SigOneHrBasic	¿ÕÍ·	rb888	2009/09/15 10:00	3953	2009/09/15 11:00	3986	1	3953	2009/09/15 10:00	3986	2009/09/15 10:00	0.00	(340.00)	(3.13%)	(3.13%)	(106.25%)
38	SigOneHrBasic	¶àÍ·	rb888	2009/09/15 14:00	3979	2009/09/17 11:00	4035	1	4065	2009/09/17 09:00	3966	2009/09/16 09:00	850.00	(140.00)	86.73%	69.39%	56.12%
39	SigOneHrBasic	¿ÕÍ·	rb888	2009/09/22 09:00	3975	2009/09/22 14:00	3968	1	3955	2009/09/22 13:00	3975	2009/09/22 09:00	190.00	(10.00)	100.00%	31.58%	31.58%
40	SigOneHrBasic	¿ÕÍ·	rb888	2009/09/25 11:00	3829	2009/09/29 09:00	3674	1	3637	2009/09/28 13:00	3832	2009/09/25 13:00	1910.00	(40.00)	98.45%	80.93%	79.38%
41	SigOneHrBasic	¶àÍ·	rb888	2009/10/12 10:00	3672	2009/10/13 09:00	3673	1	3700	2009/10/12 14:00	3655	2009/10/12 10:00	270.00	(180.00)	61.36%	38.64%	0.00%
42	SigOneHrBasic	¶àÍ·	rb888	2009/10/14 11:00	3686	2009/10/14 14:00	3682	1	3693	2009/10/14 13:00	3682	2009/10/14 11:00	60.00	(50.00)	60.00%	(10.00%)	(50.00%)
43	SigOneHrBasic	¶àÍ·	rb888	2009/10/15 14:00	3741	2009/10/16 11:00	3766	1	3788	2009/10/16 09:00	3741	2009/10/15 14:00	460.00	(10.00)	100.00%	52.17%	52.17%
44	SigOneHrBasic	¶àÍ·	rb888	2009/10/16 13:00	3780	2009/10/19 14:00	3919	1	3961	2009/10/19 11:00	3778	2009/10/16 14:00	1800.00	(30.00)	98.90%	76.92%	75.82%
45	SigOneHrBasic	¶àÍ·	rb888	2009/10/20 11:00	3852	2009/10/20 13:00	3823	1	3852	2009/10/20 11:00	3823	2009/10/20 11:00	0.00	(300.00)	(3.57%)	(3.57%)	(107.14%)
46	SigOneHrBasic	¿ÕÍ·	rb888	2009/10/22 10:00	3880	2009/10/23 09:00	3883	1	3854	2009/10/22 14:00	3899	2009/10/22 11:00	250.00	(200.00)	56.82%	34.09%	(9.09%)
47	SigOneHrBasic	¿ÕÍ·	rb888	2009/10/23 14:00	3887	2009/10/26 09:00	3898	1	3887	2009/10/23 14:00	3898	2009/10/23 14:00	0.00	(120.00)	(10.00%)	(10.00%)	(120.00%)
48	SigOneHrBasic	¶àÍ·	rb888	2009/10/27 14:00	3988	2009/10/28 09:00	3968	1	3988	2009/10/27 14:00	3968	2009/10/27 14:00	0.00	(210.00)	(5.26%)	(5.26%)	(110.53%)
49	SigOneHrBasic	¿ÕÍ·	rb888	2009/10/30 11:00	3854	2009/10/30 13:00	3871	1	3854	2009/10/30 11:00	3871	2009/10/30 11:00	0.00	(180.00)	(6.25%)	(6.25%)	(112.50%)
50	SigOneHrBasic	¶àÍ·	rb888	2009/11/09 11:00	3896	2009/11/10 10:00	4092	1	4144	2009/11/10 09:00	3895	2009/11/09 11:00	2470.00	(20.00)	99.60%	79.03%	78.63%
51	SigOneHrBasic	¿ÕÍ·	rb888	2009/11/17 09:00	4056	2009/11/17 13:00	4062	1	4053	2009/11/17 11:00	4070	2009/11/17 10:00	20.00	(150.00)	12.50%	43.75%	(43.75%)
52	SigOneHrBasic	¿ÕÍ·	rb888	2009/11/18 13:00	4040	2009/11/18 14:00	4048	1	4040	2009/11/18 13:00	4048	2009/11/18 13:00	0.00	(90.00)	(14.29%)	(14.29%)	(128.57%)
53	SigOneHrBasic	¿ÕÍ·	rb888	2009/11/25 11:00	4109	2009/11/25 13:00	4124	1	4109	2009/11/25 11:00	4124	2009/11/25 11:00	0.00	(160.00)	(7.14%)	(7.14%)	(114.29%)
54	SigOneHrBasic	¿ÕÍ·	rb888	2009/11/26 10:00	4124	2009/11/30 09:00	3958	1	3915	2009/11/27 14:00	4124	2009/11/26 10:00	2080.00	(10.00)	100.00%	79.33%	79.33%
55	SigOneHrBasic	¶àÍ·	rb888	2009/12/01 13:00	4376	2009/12/02 13:00	4391	1	4406	2009/12/02 13:00	4360	2009/12/01 14:00	290.00	(170.00)	64.44%	66.67%	31.11%
56	SigOneHrBasic	¿ÕÍ·	rb888	2009/12/04 13:00	4355	2009/12/04 14:00	4361	1	4355	2009/12/04 13:00	4361	2009/12/04 13:00	0.00	(70.00)	(20.00%)	(20.00%)	(140.00%)
57	SigOneHrBasic	¿ÕÍ·	rb888	2009/12/08 10:00	4305	2009/12/08 13:00	4317	1	4304	2009/12/08 11:00	4317	2009/12/08 10:00	0.00	(130.00)	0.00%	(8.33%)	(108.33%)
58	SigOneHrBasic	¿ÕÍ·	rb888	2009/12/09 09:00	4284	2009/12/09 10:00	4284	1	4273	2009/12/09 10:00	4284	2009/12/09 09:00	100.00	(10.00)	100.00%	(10.00%)	(10.00%)
59	SigOneHrBasic	¶àÍ·	rb888	2009/12/15 14:00	4415	2009/12/16 09:00	4388	1	4415	2009/12/15 14:00	4387	2009/12/16 09:00	0.00	(290.00)	(3.70%)	0.00%	(103.70%)
60	SigOneHrBasic	¶àÍ·	rb888	2009/12/16 11:00	4396	2009/12/16 14:00	4404	1	4419	2009/12/16 13:00	4396	2009/12/16 11:00	220.00	(10.00)	100.00%	31.82%	31.82%
61	SigOneHrBasic	¿ÕÍ·	rb888	2009/12/18 11:00	4372	2009/12/18 13:00	4378	1	4372	2009/12/18 11:00	4378	2009/12/18 11:00	0.00	(70.00)	(20.00%)	(20.00%)	(140.00%)
